epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,92.6467,1.35725,4.01401,1.31522,0.06515,0.28472,0.21335,0.16369,1.55382,4.37898,0.95274,0.000110652,0.000110652,0.000110652
105,93.4583,1.41702,4.1029,1.18073,0.06515,0.28472,0.21335,0.16369,1.55382,4.37898,0.95274,0.000110377,0.000110377,0.000110377
106,94.4111,1.18877,3.93438,1.08142,0.07287,0.36111,0.22969,0.17471,1.54429,4.35286,0.95058,0.000110102,0.000110102,0.000110102
107,95.2591,1.32661,4.03863,1.1447,0.07287,0.36111,0.22969,0.17471,1.54429,4.35286,0.95058,0.000109827,0.000109827,0.000109827
108,96.1457,1.35105,3.87841,1.14985,0.06268,0.31944,0.2183,0.16689,1.53411,4.32689,0.94594,0.000109551,0.000109551,0.000109551
109,96.981,1.26473,3.86753,1.07074,0.06268,0.31944,0.2183,0.16689,1.53411,4.32689,0.94594,0.000109276,0.000109276,0.000109276
110,97.849,1.48037,4.02914,1.42766,0.06588,0.32778,0.22132,0.1704,1.53694,4.32103,0.94804,0.000109001,0.000109001,0.000109001
111,98.6972,1.29105,3.81524,1.13096,0.06588,0.32778,0.22132,0.1704,1.53694,4.32103,0.94804,0.000108726,0.000108726,0.000108726
112,99.5908,1.38415,3.87648,1.22609,0.06458,0.32778,0.22513,0.16948,1.51661,4.2891,0.93976,0.000108451,0.000108451,0.000108451
113,100.433,1.33945,3.93715,1.1287,0.06458,0.32778,0.22513,0.16948,1.51661,4.2891,0.93976,0.000108175,0.000108175,0.000108175
114,101.24,1.25446,3.70114,1.16662,0.06843,0.36944,0.22523,0.15943,1.50799,4.26385,0.93958,0.0001079,0.0001079,0.0001079
115,102.079,1.31119,3.84472,1.15893,0.06843,0.36944,0.22523,0.15943,1.50799,4.26385,0.93958,0.000107625,0.000107625,0.000107625
116,102.984,1.33087,3.92146,1.11753,0.06737,0.36944,0.19894,0.13795,1.51527,4.23027,0.94515,0.00010735,0.00010735,0.00010735
117,103.827,1.36697,3.77925,1.194,0.06737,0.36944,0.19894,0.13795,1.51527,4.23027,0.94515,0.000107074,0.000107074,0.000107074
118,104.668,1.34634,3.72192,1.34374,0.06885,0.36944,0.19624,0.14211,1.53316,4.20185,0.94826,0.000106799,0.000106799,0.000106799
119,105.477,1.36492,3.82805,1.1948,0.06885,0.36944,0.19624,0.14211,1.53316,4.20185,0.94826,0.000106524,0.000106524,0.000106524
120,106.375,1.3321,3.8577,1.18604,0.06925,0.36944,0.19943,0.14475,1.53782,4.16342,0.95329,0.000106249,0.000106249,0.000106249
121,107.163,1.23903,3.81659,1.1843,0.06925,0.36944,0.19943,0.14475,1.53782,4.16342,0.95329,0.000105974,0.000105974,0.000105974
122,108.095,1.31249,3.80404,1.09782,0.06821,0.36944,0.19948,0.14608,1.55483,4.13121,0.95342,0.000105698,0.000105698,0.000105698
123,108.931,1.22771,3.74796,1.20576,0.06821,0.36944,0.19948,0.14608,1.55483,4.13121,0.95342,0.000105423,0.000105423,0.000105423
124,109.768,1.34385,3.7254,1.16035,0.74134,0.12775,0.20149,0.14807,1.55355,4.10827,0.95518,0.000105148,0.000105148,0.000105148
125,110.604,1.32221,3.72299,1.21789,0.74134,0.12775,0.20149,0.14807,1.55355,4.10827,0.95518,0.000104873,0.000104873,0.000104873
126,111.409,1.41142,3.82982,1.21306,0.73178,0.13045,0.20226,0.1491,1.55253,4.09171,0.95457,0.000104597,0.000104597,0.000104597
127,112.228,1.38322,3.62435,1.07664,0.73178,0.13045,0.20226,0.1491,1.55253,4.09171,0.95457,0.000104322,0.000104322,0.000104322
128,113.186,1.1457,3.59147,1.09791,0.0672,0.41111,0.21274,0.15052,1.55043,4.07197,0.9533,0.000104047,0.000104047,0.000104047
129,114.016,1.23197,3.43665,1.05953,0.0672,0.41111,0.21274,0.15052,1.55043,4.07197,0.9533,0.000103772,0.000103772,0.000103772
130,114.86,1.38618,3.66867,1.21005,0.68969,0.13128,0.21405,0.15143,1.53885,4.05412,0.95388,0.000103497,0.000103497,0.000103497
131,115.687,1.31061,3.56771,1.13079,0.68969,0.13128,0.21405,0.15143,1.53885,4.05412,0.95388,0.000103221,0.000103221,0.000103221
132,116.577,1.30959,3.58204,1.18299,0.69005,0.13154,0.21105,0.14906,1.53734,4.02351,0.9508,0.000102946,0.000102946,0.000102946
133,117.495,1.31553,3.64612,1.25921,0.69005,0.13154,0.21105,0.14906,1.53734,4.02351,0.9508,0.000102671,0.000102671,0.000102671
134,118.303,1.23115,3.41586,1.15827,0.69042,0.13169,0.2213,0.15746,1.54013,4.01697,0.95813,0.000102396,0.000102396,0.000102396
135,119.162,1.26664,3.52259,1.11459,0.69042,0.13169,0.2213,0.15746,1.54013,4.01697,0.95813,0.000102121,0.000102121,0.000102121
136,120.082,1.2279,3.47069,1.21296,0.64809,0.13182,0.22315,0.16178,1.5422,4.00354,0.96213,0.000101845,0.000101845,0.000101845
137,120.933,1.17959,3.62684,1.10312,0.64809,0.13182,0.22315,0.16178,1.5422,4.00354,0.96213,0.00010157,0.00010157,0.00010157
138,121.815,1.18428,3.5393,1.10393,0.64776,0.13194,0.21931,0.15158,1.53196,3.95758,0.96957,0.000101295,0.000101295,0.000101295
139,122.73,1.26402,3.46152,1.1313,0.64776,0.13194,0.21931,0.15158,1.53196,3.95758,0.96957,0.00010102,0.00010102,0.00010102
140,123.648,1.198,3.50086,1.06598,0.65922,0.1532,0.22653,0.15147,1.54638,3.96047,0.9739,0.000100744,0.000100744,0.000100744
141,124.519,1.22192,3.28373,1.18761,0.65922,0.1532,0.22653,0.15147,1.54638,3.96047,0.9739,0.000100469,0.000100469,0.000100469
142,125.41,1.24629,3.3738,1.13046,0.66026,0.20307,0.22691,0.15298,1.5631,3.93919,0.97143,0.000100194,0.000100194,0.000100194
143,126.22,1.24871,3.46418,1.11546,0.66026,0.20307,0.22691,0.15298,1.5631,3.93919,0.97143,9.99188e-05,9.99188e-05,9.99188e-05
144,127.096,1.25042,3.35569,1.11453,0.65613,0.20711,0.22959,0.1541,1.5633,3.91861,0.96511,9.96435e-05,9.96435e-05,9.96435e-05
145,127.971,1.22457,3.34661,1.10388,0.65613,0.20711,0.22959,0.1541,1.5633,3.91861,0.96511,9.93683e-05,9.93683e-05,9.93683e-05
146,128.829,1.37318,3.37072,1.13311,0.60906,0.20991,0.2293,0.15226,1.57811,3.91131,0.96327,9.90931e-05,9.90931e-05,9.90931e-05
147,129.654,1.21441,3.45889,1.10299,0.60906,0.20991,0.2293,0.15226,1.57811,3.91131,0.96327,9.88179e-05,9.88179e-05,9.88179e-05
148,130.529,1.19588,3.37575,1.1008,0.60534,0.2116,0.23285,0.15568,1.60617,3.9,0.96263,9.85427e-05,9.85427e-05,9.85427e-05
149,131.402,1.25638,3.42744,1.17318,0.60534,0.2116,0.23285,0.15568,1.60617,3.9,0.96263,9.82674e-05,9.82674e-05,9.82674e-05
150,132.271,1.24419,3.28808,1.12379,0.60483,0.21258,0.23594,0.1569,1.60077,3.88163,0.96076,9.79922e-05,9.79922e-05,9.79922e-05
151,133.074,1.34984,3.39012,1.06678,0.60483,0.21258,0.23594,0.1569,1.60077,3.88163,0.96076,9.7717e-05,9.7717e-05,9.7717e-05
152,133.939,1.19577,3.34785,1.18864,0.60539,0.2151,0.23762,0.16074,1.60423,3.84399,0.96857,9.74418e-05,9.74418e-05,9.74418e-05
153,134.726,1.19024,3.20627,1.15953,0.60539,0.2151,0.23762,0.16074,1.60423,3.84399,0.96857,9.71666e-05,9.71666e-05,9.71666e-05
154,135.618,1.21784,3.4397,1.11167,0.61187,0.21528,0.23676,0.16896,1.58722,3.82713,0.96953,9.68913e-05,9.68913e-05,9.68913e-05
155,136.416,1.08479,3.15976,0.99865,0.61187,0.21528,0.23676,0.16896,1.58722,3.82713,0.96953,9.66161e-05,9.66161e-05,9.66161e-05
156,137.338,1.16868,3.15346,1.09213,0.6161,0.17361,0.23764,0.17011,1.57983,3.8239,0.96818,9.63409e-05,9.63409e-05,9.63409e-05
157,138.213,1.33651,3.17511,1.22828,0.6161,0.17361,0.23764,0.17011,1.57983,3.8239,0.96818,9.60657e-05,9.60657e-05,9.60657e-05
158,139.102,1.23128,3.15864,1.11458,0.61531,0.13194,0.24091,0.17759,1.56972,3.79814,0.96772,9.57905e-05,9.57905e-05,9.57905e-05
159,140.068,1.15326,3.29577,1.07535,0.61531,0.13194,0.24091,0.17759,1.56972,3.79814,0.96772,9.55152e-05,9.55152e-05,9.55152e-05
160,141.017,1.21784,3.1226,1.13241,0.61332,0.13194,0.23961,0.17553,1.58207,3.78988,0.97031,9.524e-05,9.524e-05,9.524e-05
161,141.919,1.22367,3.31824,1.04937,0.61332,0.13194,0.23961,0.17553,1.58207,3.78988,0.97031,9.49648e-05,9.49648e-05,9.49648e-05
162,142.813,1.19831,3.3158,1.04173,0.61344,0.13194,0.2382,0.1745,1.58787,3.78974,0.96578,9.46896e-05,9.46896e-05,9.46896e-05
163,143.777,1.13995,3.07631,1.07451,0.61344,0.13194,0.2382,0.1745,1.58787,3.78974,0.96578,9.44144e-05,9.44144e-05,9.44144e-05
164,144.67,1.22842,3.22788,1.20556,0.61383,0.17361,0.23789,0.17674,1.59961,3.80694,0.96554,9.41391e-05,9.41391e-05,9.41391e-05
165,145.59,1.33158,3.29321,1.13792,0.61383,0.17361,0.23789,0.17674,1.59961,3.80694,0.96554,9.38639e-05,9.38639e-05,9.38639e-05
166,146.464,1.17874,3.38674,1.02256,0.60824,0.17361,0.25778,0.18425,1.59113,3.82339,0.96264,9.35887e-05,9.35887e-05,9.35887e-05
167,147.304,1.27508,3.16465,1.20107,0.60824,0.17361,0.25778,0.18425,1.59113,3.82339,0.96264,9.33135e-05,9.33135e-05,9.33135e-05
168,148.195,1.14233,3.14738,1.09363,0.60209,0.19444,0.25592,0.18492,1.60769,3.84265,0.96413,9.30383e-05,9.30383e-05,9.30383e-05
169,149.057,1.11124,3.20257,1.09704,0.60209,0.19444,0.25592,0.18492,1.60769,3.84265,0.96413,9.2763e-05,9.2763e-05,9.2763e-05
170,149.947,1.16166,3.00583,1.06763,0.5999,0.19411,0.25681,0.18095,1.63202,3.84033,0.97168,9.24878e-05,9.24878e-05,9.24878e-05
171,150.803,1.20418,3.06518,1.1031,0.5999,0.19411,0.25681,0.18095,1.63202,3.84033,0.97168,9.22126e-05,9.22126e-05,9.22126e-05
172,151.647,1.24118,3.1628,1.09353,0.59452,0.19389,0.2538,0.17936,1.63132,3.83102,0.97636,9.19374e-05,9.19374e-05,9.19374e-05
173,152.459,1.02588,2.66162,0.99659,0.59452,0.19389,0.2538,0.17936,1.63132,3.83102,0.97636,9.16622e-05,9.16622e-05,9.16622e-05
174,153.366,1.16519,3.14178,1.05062,0.58982,0.19156,0.25573,0.17728,1.65514,3.84999,1.00232,9.13869e-05,9.13869e-05,9.13869e-05
175,154.209,1.18067,3.04933,1.0985,0.58982,0.19156,0.25573,0.17728,1.65514,3.84999,1.00232,9.11117e-05,9.11117e-05,9.11117e-05
176,155.086,1.19228,3.07726,1.06138,0.68799,0.18388,0.2598,0.18,1.65846,3.83528,1.0032,9.08365e-05,9.08365e-05,9.08365e-05
177,156.06,1.09771,2.99167,1.0858,0.68799,0.18388,0.2598,0.18,1.65846,3.83528,1.0032,9.05613e-05,9.05613e-05,9.05613e-05
178,156.979,1.17449,3.01346,1.07854,0.58499,0.19205,0.25902,0.18274,1.66718,3.79723,1.00612,9.02861e-05,9.02861e-05,9.02861e-05
179,157.981,1.14092,2.73486,1.11244,0.58499,0.19205,0.25902,0.18274,1.66718,3.79723,1.00612,9.00108e-05,9.00108e-05,9.00108e-05
180,159.085,1.29019,3.13704,1.14893,0.61479,0.22404,0.26938,0.18947,1.66885,3.81693,1.01133,8.97356e-05,8.97356e-05,8.97356e-05
